date,image_name,number_of_larvae,mean_body_length,mean_area,mean_intensity
18.10,IMG_2953,10,348.6,2789.9,76.54
18.10,IMG_2954,4,320.25,2570.75,96.0
18.10,IMG_2955,10,168.9,1268.6,74.73
18.10,IMG_2956,8,521.12,3758.0,89.84
18.10,IMG_2957,11,102.36,1085.09,69.58
18.10,IMG_2958,6,301.0,2231.17,90.12
18.10,IMG_2959,9,408.56,2667.56,110.99
18.10,IMG_3001,13,165.77,1819.69,129.49
18.10,IMG_3002,13,132.08,1137.85,150.25
18.10,IMG_3003,15,253.33,1952.07,93.63
18.10,IMG_3004,11,118.73,1012.36,94.16
18.10,IMG_3005,8,171.5,1484.62,105.12
18.10,IMG_3006,15,204.6,1657.2,83.02
18.10,IMG_3007,13,298.77,1873.0,104.09
18.10,IMG_3008,19,173.05,1618.37,107.25
18.10,IMG_3009,25,123.76,1211.52,72.35
18.10,IMG_3010,13,254.54,1696.62,107.97
18.10,IMG_3011,16,154.38,1448.69,94.4
18.10,IMG_3012,13,191.15,1435.31,107.88
18.10,IMG_3013,19,104.79,821.37,58.86
18.10,IMG_3015,11,175.64,1512.18,105.83
18.10,IMG_3016,14,127.71,623.43,89.66
18.10,IMG_3017,15,238.07,1474.53,103.1
18.10,IMG_3018,13,151.85,1232.85,101.19
18.10,IMG_3019,19,103.05,608.63,73.33
18.10,IMG_3020,10,156.9,1471.6,102.09
18.10,IMG_3021,12,150.67,1383.75,121.88
18.10,IMG_3022,16,140.81,1215.75,91.22
18.10,IMG_3023,10,146.3,1274.5,117.85
18.10,IMG_3024,17,293.88,2255.65,84.91
19.10,IMG_3778,22,78.77,697.86,131.62
19.10,IMG_3779,23,45.83,419.96,138.56
19.10,IMG_3780,21,68.48,634.33,125.62
19.10,IMG_3788,26,37.73,484.08,130.58
19.10,IMG_3789,26,47.77,512.23,128.71
19.10,IMG_3793,26,73.35,743.19,135.6
19.10,IMG_3794,26,74.35,716.77,139.84
19.10,IMG_3800,30,38.57,268.33,129.92
19.10,IMG_3801,30,81.77,791.8,125.14
19.10,IMG_3802,30,83.2,682.63,132.64
19.10,IMG_3803,24,54.58,369.17,131.81
19.10,IMG_3804,27,67.19,523.37,130.57
19.10,IMG_3805,29,30.0,199.59,137.33
19.10,IMG_3806,25,75.28,897.32,129.99
19.10,IMG_3807,24,88.67,758.58,129.55
19.10,IMG_3808,23,57.26,630.87,122.02
19.10,IMG_3809,24,52.42,508.0,134.75
19.10,IMG_3810,25,64.6,629.4,129.28
19.10,IMG_3811,28,60.61,550.0,131.48
19.10,IMG_3812,22,29.0,309.59,124.75
19.10,IMG_3815,30,97.6,1017.0,112.59
19.10,IMG_3816,23,34.17,228.17,140.82
19.10,IMG_3817,24,70.42,709.58,144.19
19.10,IMG_3818,24,24.12,132.12,130.34
19.10,IMG_3819,26,55.46,522.62,118.27
19.10,IMG_3820,24,52.67,586.46,128.83
19.10,IMG_3821,22,71.09,759.95,129.05
19.10,IMG_3822,22,39.55,531.18,129.24
19.10,IMG_3823,21,76.0,970.52,129.68
19.10,IMG_3824,22,91.86,1062.95,125.05
20.10,IMG_4646,16,93.38,1317.62,98.38
20.10,IMG_4659,18,67.78,603.33,114.47
20.10,IMG_4660,20,99.8,949.05,89.67
20.10,IMG_4711,21,80.43,982.33,111.12
20.10,IMG_4715,19,49.21,531.58,124.51
20.10,IMG_4717,23,44.52,474.96,112.72
20.10,IMG_4718,19,50.42,384.68,133.09
20.10,IMG_4720,19,92.11,865.21,123.86
20.10,IMG_4721,19,80.84,889.37,112.28
20.10,IMG_4723,17,77.06,806.71,124.11
20.10,IMG_4724,20,56.4,330.8,113.57
20.10,IMG_4725,22,70.77,458.27,123.98
20.10,IMG_4726,24,96.0,929.25,113.43
20.10,IMG_4727,23,96.13,1089.39,124.47
20.10,IMG_4728,23,60.35,756.35,118.05
20.10,IMG_4729,23,101.57,997.57,122.48
20.10,IMG_4730,26,81.38,800.27,109.25
20.10,IMG_4731,26,73.69,848.31,116.84
20.10,IMG_4732,23,71.26,753.13,126.45
20.10,IMG_4733,27,69.07,695.89,114.97
20.10,IMG_4740,25,95.24,837.84,108.26
20.10,IMG_4741,23,97.13,821.74,115.41
20.10,IMG_4742,19,101.84,1040.26,102.17
20.10,IMG_4743,17,65.18,640.59,119.52
20.10,IMG_4744,19,89.0,633.21,117.28
20.10,IMG_4745,16,92.69,975.5,127.57
20.10,IMG_4746,14,91.64,911.0,126.28
20.10,IMG_4747,14,108.21,940.14,115.36
20.10,IMG_4748,19,99.32,1092.11,109.97
20.10,IMG_4749,16,74.94,758.88,111.12
21.10,IMG_5245,14,128.29,782.93,107.26
21.10,IMG_5246,13,80.62,493.31,138.3
21.10,IMG_5247,13,76.38,761.54,126.11
21.10,IMG_5248,12,39.08,513.58,86.48
21.10,IMG_5250,17,132.94,922.12,119.12
21.10,IMG_5251,16,103.56,1357.81,121.73
21.10,IMG_5254,15,69.07,719.13,103.7
21.10,IMG_5266,10,80.6,635.0,123.78
21.10,IMG_5267,15,83.73,891.87,121.59
21.10,IMG_5268,13,67.54,512.0,128.59
21.10,IMG_5269,14,68.57,526.79,117.03
21.10,IMG_5270,16,69.56,784.75,116.15
21.10,IMG_5271,14,105.5,1125.43,124.58
21.10,IMG_5272,16,106.94,1085.44,120.44
21.10,IMG_5273,13,54.54,461.08,128.1
21.10,IMG_5274,16,142.69,1446.31,107.06
21.10,IMG_5275,17,124.41,1339.65,117.07
21.10,IMG_5276,17,53.59,444.71,125.94
21.10,IMG_5277,16,172.25,1620.25,117.81
21.10,IMG_5278,17,103.82,871.12,109.45
21.10,IMG_5279,18,136.94,1031.28,117.24
21.10,IMG_5280,21,135.19,1017.81,107.5
21.10,IMG_5281,19,200.37,1646.05,101.9
21.10,IMG_5282,23,157.09,1095.52,101.18
21.10,IMG_5283,20,147.75,1152.25,108.19
21.10,IMG_5284,18,77.11,658.56,115.46
21.10,IMG_5285,24,100.58,768.21,97.64
21.10,IMG_5305,18,59.56,412.0,92.72
21.10,IMG_5312,4,91.25,843.5,103.24
21.10,IMG_5341,7,83.86,608.29,119.09
24.10,IMG_5500,43,38.93,423.63,123.67
24.10,IMG_5501,40,66.85,577.22,133.56
24.10,IMG_5502,41,34.49,276.68,132.61
24.10,IMG_5503,38,20.71,193.5,136.22
24.10,IMG_5504,40,32.52,275.18,126.48
24.10,IMG_5505,47,21.15,172.02,125.95
24.10,IMG_5506,39,23.97,232.28,129.37
24.10,IMG_5507,50,48.84,488.18,122.14
24.10,IMG_5508,43,25.49,213.51,130.7
24.10,IMG_5509,39,31.13,337.08,120.18
24.10,IMG_5510,43,53.6,514.19,126.58
24.10,IMG_5511,45,40.16,357.73,139.18
24.10,IMG_5512,49,23.65,196.73,133.99
24.10,IMG_5513,41,21.15,185.83,134.22
24.10,IMG_5514,41,19.71,242.39,128.28
24.10,IMG_5515,48,23.5,186.31,126.27
24.10,IMG_5516,43,47.05,354.67,132.79
24.10,IMG_5517,41,14.44,168.78,132.73
24.10,IMG_5518,41,16.73,168.93,133.78
24.10,IMG_5519,47,27.91,286.51,130.33
24.10,IMG_5520,46,24.22,283.35,124.13
24.10,IMG_5521,46,34.09,365.2,119.18
24.10,IMG_5522,53,40.47,385.21,123.38
24.10,IMG_5523,48,30.5,342.0,124.24
24.10,IMG_5524,47,36.23,384.19,126.77
24.10,IMG_5525,49,37.41,351.53,126.6
24.10,IMG_5526,47,47.7,381.91,127.64
24.10,IMG_5527,50,44.56,395.82,123.22
24.10,IMG_5528,46,29.37,250.65,127.39
24.10,IMG_5529,49,51.16,497.61,122.67
25.10,IMG_5747,29,36.69,313.41,102.01
25.10,IMG_5748,30,64.07,567.7,104.62
25.10,IMG_5749,28,59.79,426.36,103.17
25.10,IMG_5750,26,26.54,191.42,97.78
25.10,IMG_5751,32,32.88,265.94,91.21
25.10,IMG_5752,30,25.23,184.53,98.95
25.10,IMG_5753,26,41.73,285.85,104.52
25.10,IMG_5754,22,41.27,474.77,109.68
25.10,IMG_5755,20,20.6,221.65,113.94
25.10,IMG_5756,24,47.0,333.08,104.54
25.10,IMG_5757,24,31.62,286.62,108.75
25.10,IMG_5758,26,20.31,178.0,104.46
25.10,IMG_5759,25,48.76,432.92,106.76
25.10,IMG_5760,26,33.19,251.0,104.52
25.10,IMG_5761,22,58.91,309.86,105.98
25.10,IMG_5762,26,64.46,472.38,103.41
25.10,IMG_5763,29,34.97,222.76,96.2
25.10,IMG_5764,21,21.76,201.05,109.0
25.10,IMG_5765,21,73.05,705.9,96.09
25.10,IMG_5766,29,49.62,346.62,86.86
25.10,IMG_5767,29,85.79,611.66,99.69
25.10,IMG_5769,23,61.35,363.3,99.08
25.10,IMG_5770,25,26.24,193.8,96.89
25.10,IMG_5771,24,32.12,348.29,104.93
25.10,IMG_5772,25,59.6,490.8,98.32
25.10,IMG_5773,22,90.23,715.18,106.14
25.10,IMG_5774,27,79.59,574.41,87.16
25.10,IMG_5775,25,25.36,186.32,99.54
25.10,IMG_5776,27,25.07,182.52,90.66
25.10,IMG_5777,22,22.14,214.55,113.67
26.10,IMG_6113,20,104.45,1448.8,116.97
26.10,IMG_6114,25,85.32,920.72,99.13
26.10,IMG_6115,23,66.0,851.43,119.69
26.10,IMG_6116,18,63.94,589.72,116.63
26.10,IMG_6117,23,89.0,955.83,100.77
26.10,IMG_6118,24,31.75,268.12,110.93
26.10,IMG_6119,28,56.11,623.57,106.43
26.10,IMG_6120,22,21.05,223.0,112.69
26.10,IMG_6121,23,39.39,302.35,114.3
26.10,IMG_6122,25,62.2,579.12,111.72
26.10,IMG_6123,25,31.48,337.44,109.48
26.10,IMG_6124,26,36.5,351.62,112.56
26.10,IMG_6125,23,43.57,422.39,124.26
26.10,IMG_6126,22,21.86,214.36,121.4
26.10,IMG_6127,19,22.32,210.84,120.99
26.10,IMG_6128,21,29.48,236.71,117.58
26.10,IMG_6129,21,27.48,250.1,114.93
26.10,IMG_6130,22,22.0,199.82,119.5
26.10,IMG_6131,19,18.32,206.95,127.49
26.10,IMG_6132,20,16.75,198.85,129.83
26.10,IMG_6133,27,56.96,1072.59,108.32
26.10,IMG_6134,23,19.61,197.0,120.33
26.10,IMG_6135,27,31.63,234.78,114.99
26.10,IMG_6136,20,17.95,202.45,120.95
26.10,IMG_6137,25,34.44,373.36,117.66
26.10,IMG_6138,23,20.57,220.17,128.8
26.10,IMG_6139,22,18.45,223.14,127.05
26.10,IMG_6140,24,17.04,197.62,120.72
26.10,IMG_6141,25,24.24,243.32,105.66
26.10,IMG_6142,24,25.33,233.0,120.81
27.10,IMG_6600,37,73.51,780.57,114.57
27.10,IMG_6601,32,52.59,603.84,124.12
27.10,IMG_6602,33,65.52,735.42,122.15
27.10,IMG_6603,30,31.33,281.17,123.06
27.10,IMG_6604,38,42.18,417.92,115.96
27.10,IMG_6605,30,42.93,557.37,121.78
27.10,IMG_6606,28,53.57,636.39,123.42
27.10,IMG_6607,29,55.34,712.48,120.17
27.10,IMG_6608,31,58.0,563.39,126.01
27.10,IMG_6609,32,110.94,1211.59,118.3
27.10,IMG_6610,33,63.73,636.48,117.97
27.10,IMG_6611,32,74.88,1040.44,117.28
27.10,IMG_6612,37,44.46,490.59,111.13
27.10,IMG_6613,37,46.97,582.24,114.29
27.10,IMG_6614,35,62.14,606.26,107.37
27.10,IMG_6615,31,61.81,687.94,112.07
27.10,IMG_6616,28,35.21,300.43,124.33
27.10,IMG_6617,30,65.63,672.13,111.26
27.10,IMG_6618,32,67.84,727.75,116.72
27.10,IMG_6619,29,55.55,666.03,117.73
27.10,IMG_6620,29,74.59,854.14,118.71
27.10,IMG_6621,32,49.25,552.69,119.22
27.10,IMG_6622,32,46.03,583.38,126.78
27.10,IMG_6623,33,95.33,865.03,113.19
27.10,IMG_6624,31,55.03,603.97,123.21
27.10,IMG_6625,34,71.88,695.97,120.37
27.10,IMG_6626,32,63.09,555.5,120.59
27.10,IMG_6627,32,65.81,690.94,120.22
27.10,IMG_6628,30,57.83,711.8,124.07
27.10,IMG_6629,32,26.47,232.94,126.16
29.10,IMG_7105,50,32.26,353.44,136.22
29.10,IMG_7106,46,36.15,436.98,133.64
29.10,IMG_7107,45,45.62,466.93,130.25
29.10,IMG_7108,50,92.2,795.92,123.68
29.10,IMG_7109,51,102.37,1054.75,126.79
29.10,IMG_7110,49,56.04,668.12,134.17
29.10,IMG_7111,46,38.76,462.52,135.12
29.10,IMG_7112,50,72.58,742.74,126.27
29.10,IMG_7113,52,73.04,803.21,128.13
29.10,IMG_7114,50,24.4,284.32,132.67
29.10,IMG_7115,50,48.38,530.56,132.03
29.10,IMG_7116,52,54.94,626.1,127.63
29.10,IMG_7117,45,23.67,315.36,135.06
29.10,IMG_7118,50,38.14,396.32,126.65
29.10,IMG_7119,51,60.37,568.41,131.51
29.10,IMG_7120,55,41.15,446.18,132.84
29.10,IMG_7121,48,51.42,522.81,127.17
29.10,IMG_7122,45,49.07,601.11,135.62
29.10,IMG_7123,52,37.56,390.38,130.16
29.10,IMG_7124,47,28.51,349.02,133.17
29.10,IMG_7125,52,78.19,672.06,122.35
29.10,IMG_7126,53,50.53,545.92,134.42
29.10,IMG_7127,54,52.11,579.98,123.1
29.10,IMG_7128,53,66.87,768.62,128.9
29.10,IMG_7129,52,55.42,655.65,131.94
29.10,IMG_7130,50,65.06,758.12,127.21
29.10,IMG_7131,41,25.95,333.32,142.03
29.10,IMG_7132,50,49.16,503.76,130.3
29.10,IMG_7133,51,100.67,983.25,130.06
29.10,IMG_7134,49,50.02,628.12,135.69
3.11,IMG_7895,69,47.19,460.17,124.36
3.11,IMG_7896,67,49.3,549.31,119.09
3.11,IMG_7897,74,74.3,640.72,112.07
3.11,IMG_7898,67,24.39,328.72,122.78
3.11,IMG_7899,75,93.43,755.97,112.96
3.11,IMG_7900,67,40.54,427.06,115.56
3.11,IMG_7901,65,53.54,440.09,116.02
3.11,IMG_7902,67,49.15,505.0,111.04
3.11,IMG_7903,22,44.64,414.86,136.77
3.11,IMG_7904,65,40.88,385.72,116.19
3.11,IMG_7905,65,30.86,337.38,119.75
3.11,IMG_8051,65,38.95,432.94,115.41
3.11,IMG_8052,67,49.87,589.55,109.15
3.11,IMG_8053,66,60.23,659.79,116.04
3.11,IMG_8054,63,49.87,510.79,114.34
3.11,IMG_8055,64,49.83,548.75,112.0
3.11,IMG_8056,65,42.95,514.22,113.52
3.11,IMG_8057,65,60.74,542.77,111.91
3.11,IMG_8058,63,40.86,397.1,115.0
3.11,IMG_8059,60,50.37,523.92,116.26
3.11,IMG_8060,63,78.56,713.32,114.49
3.11,IMG_8061,62,47.08,504.76,115.43
3.11,IMG_8062,64,54.77,564.84,115.55
3.11,IMG_8063,68,49.75,468.72,112.27
3.11,IMG_8064,65,40.78,464.78,115.02
3.11,IMG_8065,64,40.14,441.91,117.47
3.11,IMG_8066,69,34.52,385.45,110.74
3.11,IMG_8067,66,36.47,414.48,114.34
3.11,IMG_8068,67,42.61,447.33,113.75
3.11,IMG_8069,69,43.71,398.52,104.45
31.10,IMG_7376,70,44.26,502.84,122.42
31.10,IMG_7378,65,37.34,403.71,123.72
31.10,IMG_7380,69,40.04,425.94,119.26
31.10,IMG_7381,65,30.46,362.68,119.89
31.10,IMG_7382,68,60.85,646.87,115.94
31.10,IMG_7383,67,51.97,527.34,118.38
31.10,IMG_7384,69,45.46,455.58,114.75
31.10,IMG_7385,61,40.56,486.41,117.57
31.10,IMG_7386,67,55.48,559.21,118.04
31.10,IMG_7387,71,53.83,577.73,118.79
31.10,IMG_7388,68,35.18,376.34,119.48
31.10,IMG_7389,70,50.9,540.06,118.8
31.10,IMG_7390,66,55.14,581.67,119.35
31.10,IMG_7391,65,50.98,541.02,121.03
31.10,IMG_7392,66,40.64,468.61,120.87
31.10,IMG_7393,72,46.54,438.43,114.55
31.10,IMG_7394,65,57.97,618.42,111.36
31.10,IMG_7395,65,57.55,533.85,117.5
31.10,IMG_7396,70,35.29,428.01,118.09
31.10,IMG_7397,72,33.35,355.38,118.11
31.10,IMG_7398,70,42.59,483.71,114.37
31.10,IMG_7399,66,39.55,434.36,118.05
31.10,IMG_7400,65,47.51,551.98,113.85
31.10,IMG_7401,62,37.0,393.65,117.09
31.10,IMG_7402,70,44.24,454.93,112.84
31.10,IMG_7403,64,36.44,384.08,118.58
31.10,IMG_7404,67,42.75,482.72,115.05
31.10,IMG_7405,63,42.86,396.11,109.69
31.10,IMG_7406,62,42.81,457.35,112.01
31.10,IMG_7407,64,36.91,453.38,117.07
